hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,date_id,booking_id
Resort Hotel,0,53,2024,October,40,3,2,5,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,E,0,No Deposit,0,Contract,47.33,0,0,Check-Out,10-10-2024,DT284,61064
Resort Hotel,0,4,2024,October,41,7,0,3,2,0,0,BB,DEU,Direct,Direct,0,0,0,A,A,1,No Deposit,0,Transient,67,0,0,Check-Out,10-10-2024,DT284,61065
Resort Hotel,0,88,2024,October,41,5,1,4,2,0,0,BB,CN,Complementary,TA/TO,0,0,0,A,C,1,No Deposit,0,Transient,6,1,0,Check-Out,10-10-2024,DT284,61066
Resort Hotel,0,56,2024,October,40,2,2,6,2,0,0,BB,NLD,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,60.9,1,3,Check-Out,10-10-2024,DT284,61067
City Hotel,0,32,2024,October,41,6,0,4,2,0,0,BB,ISR,Direct,Direct,0,0,0,D,D,0,No Deposit,0,Transient,124.75,0,0,Check-Out,10-10-2024,DT284,61068
Resort Hotel,1,268,2024,July,27,2,2,5,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,E,E,2,No Deposit,0,Transient,122.53,0,0,Canceled,10-10-2024,DT284,61069
City Hotel,0,18,2024,October,41,4,2,4,2,0,0,BB,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,81.35,0,0,Check-Out,10-10-2024,DT284,61070
Resort Hotel,0,383,2024,October,41,6,1,3,2,0,0,SC,GBR,Groups,TA/TO,0,0,0,A,I,1,No Deposit,0,Transient-Party,4.5,0,1,Check-Out,10-10-2024,DT284,61071
City Hotel,0,16,2024,October,40,3,2,5,1,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,114.57,0,0,Check-Out,10-10-2024,DT284,61072
City Hotel,0,25,2024,October,41,6,0,4,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Contract,112.25,0,1,Check-Out,10-10-2024,DT284,61073
City Hotel,0,2,2024,October,41,9,0,1,1,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,91,0,0,Check-Out,10-10-2024,DT284,61074
City Hotel,0,12,2024,October,41,5,1,4,1,0,0,HB,DZA,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient,110.5,0,0,Check-Out,10-10-2024,DT284,61075
City Hotel,0,6,2024,October,41,6,0,4,1,0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Contract,148.5,0,1,Check-Out,10-10-2024,DT284,61076
City Hotel,0,18,2024,October,41,9,0,1,2,0,0,BB,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Contract,126,0,1,Check-Out,10-10-2024,DT284,61077
City Hotel,0,24,2024,October,41,9,0,1,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,117,0,1,Check-Out,10-10-2024,DT284,61078
City Hotel,0,20,2024,October,41,4,2,4,2,0,0,BB,ISR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Contract,107,0,1,Check-Out,10-10-2024,DT284,61079
City Hotel,0,11,2024,October,41,4,2,4,2,0,0,BB,FRA,Direct,Direct,0,0,0,E,E,0,No Deposit,0,Transient,146,0,2,Check-Out,10-10-2024,DT284,61080
City Hotel,0,9,2024,October,41,7,0,3,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,0,Contract,145,0,0,Check-Out,10-10-2024,DT284,61081
City Hotel,0,0,2024,October,41,9,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,164,0,1,Check-Out,10-10-2024,DT284,61082
City Hotel,0,24,2024,October,41,8,0,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,0,Contract,107,0,2,Check-Out,10-10-2024,DT284,61083
City Hotel,0,17,2024,October,40,3,2,5,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Contract,119.71,0,1,Check-Out,10-10-2024,DT284,61084
City Hotel,0,12,2024,October,41,5,1,4,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,D,0,No Deposit,0,Transient,114,0,3,Check-Out,10-10-2024,DT284,61085
City Hotel,0,17,2024,October,41,8,0,2,1,0,0,BB,PRT,Direct,Direct,0,0,0,A,E,0,No Deposit,0,Transient,109,0,0,Check-Out,10-10-2024,DT284,61086
City Hotel,0,1,2024,October,41,7,0,3,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Contract,155,0,2,Check-Out,10-10-2024,DT284,61087
City Hotel,0,32,2024,October,41,5,1,4,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Contract,97.92,0,2,Check-Out,10-10-2024,DT284,61088
City Hotel,0,26,2024,October,41,7,0,3,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Contract,114.67,0,2,Check-Out,10-10-2024,DT284,61089
City Hotel,0,25,2024,October,41,6,0,4,2,2,0,BB,NLD,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,0,Contract,162.25,0,1,Check-Out,10-10-2024,DT284,61090
City Hotel,0,11,2024,October,41,9,0,1,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Contract,155,0,2,Check-Out,10-10-2024,DT284,61091
City Hotel,0,11,2024,October,41,9,0,1,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Contract,155,0,2,Check-Out,10-10-2024,DT284,61092
City Hotel,0,32,2024,October,41,5,1,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Contract,97.92,0,2,Check-Out,10-10-2024,DT284,61093
City Hotel,0,12,2024,October,41,7,0,3,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Contract,139,0,1,Check-Out,10-10-2024,DT284,61094
City Hotel,0,2,2024,October,41,4,2,4,1,0,0,BB,JPN,Direct,Direct,0,0,0,D,D,0,No Deposit,0,Transient,145,0,1,Check-Out,10-10-2024,DT284,61095
City Hotel,0,27,2024,October,41,5,1,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Contract,106.02,0,2,Check-Out,10-10-2024,DT284,61096
City Hotel,0,26,2024,October,41,5,1,4,2,0,0,BB,MAR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,106.93,0,1,Check-Out,10-10-2024,DT284,61097
City Hotel,0,24,2024,October,41,4,2,4,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,81.7,0,1,Check-Out,10-10-2024,DT284,61098
Resort Hotel,0,8,2024,October,41,6,1,3,2,0,0,BB,SUR,Groups,Corporate,0,0,0,A,A,1,No Deposit,0,Transient-Party,56,1,0,Check-Out,10-10-2024,DT284,61099
City Hotel,0,8,2024,October,41,7,0,3,1,0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,0,Contract,158,0,0,Check-Out,10-10-2024,DT284,61100
City Hotel,0,15,2024,October,41,7,0,3,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,104.72,0,1,Check-Out,10-10-2024,DT284,61101
Resort Hotel,1,311,2024,August,32,11,1,2,1,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,3,No Deposit,0,Transient,156.6,0,2,Canceled,10-10-2024,DT284,61102
Resort Hotel,0,7,2024,October,41,5,1,4,2,0,1,BB,GBR,Groups,Corporate,0,0,0,A,A,1,No Deposit,0,Transient-Party,50,0,2,Check-Out,10-10-2024,DT284,61103
Resort Hotel,0,66,2024,October,41,7,1,2,2,2,0,BB,IRL,Online TA,TA/TO,0,0,0,G,G,2,No Deposit,0,Transient,145,1,1,Check-Out,10-10-2024,DT284,61104
Resort Hotel,0,2,2024,October,41,9,0,1,1,0,0,BB,PRT,Groups,Corporate,0,0,1,A,D,0,No Deposit,0,Transient,48,0,0,Check-Out,10-10-2024,DT284,61105
City Hotel,0,22,2024,October,41,6,0,4,2,0,0,BB,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Contract,107,0,2,Check-Out,10-10-2024,DT284,61106
City Hotel,0,0,2024,October,41,9,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,0,Transient,152,0,0,Check-Out,10-10-2024,DT284,61107
City Hotel,0,3,2024,October,41,4,2,4,2,0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Contract,133,0,2,Check-Out,10-10-2024,DT284,61108
Resort Hotel,0,8,2024,October,41,6,1,3,2,0,0,BB,GBR,Groups,Corporate,0,0,0,A,A,1,No Deposit,0,Transient-Party,54.5,1,1,Check-Out,10-10-2024,DT284,61109
Resort Hotel,0,8,2024,October,41,6,1,3,2,0,0,BB,GBR,Groups,Corporate,0,0,0,A,A,1,No Deposit,0,Transient-Party,58,1,0,Check-Out,10-10-2024,DT284,61110
City Hotel,0,0,2024,October,41,9,0,1,1,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,0,Transient,152,0,0,Check-Out,10-10-2024,DT284,61111
City Hotel,0,12,2024,October,41,5,1,4,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,0,Transient,114,0,3,Check-Out,10-10-2024,DT284,61112
City Hotel,0,7,2024,October,41,7,0,3,2,0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Contract,164,0,2,Check-Out,10-10-2024,DT284,61113
City Hotel,0,22,2024,October,41,9,0,1,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,82.39,0,2,Check-Out,10-10-2024,DT284,61114
City Hotel,0,18,2024,October,41,5,1,4,2,0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Contract,107,0,2,Check-Out,10-10-2024,DT284,61115
City Hotel,0,22,2024,October,41,6,0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,0,Contract,115,0,2,Check-Out,10-10-2024,DT284,61116
City Hotel,0,22,2024,October,41,6,0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,1,No Deposit,0,Contract,115,0,2,Check-Out,10-10-2024,DT284,61117
City Hotel,0,22,2024,October,41,9,0,1,1,0,0,BB,BEL,Direct,Direct,0,0,0,A,A,0,No Deposit,0,Transient,90,0,0,Check-Out,10-10-2024,DT284,61118
City Hotel,0,0,2024,October,41,7,0,3,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,0,Contract,196,0,2,Check-Out,10-10-2024,DT284,61119
City Hotel,0,20,2024,October,41,7,0,3,1,0,0,BB,PRT,Direct,Direct,0,0,0,A,D,0,No Deposit,0,Transient,90,0,0,Check-Out,10-10-2024,DT284,61120
Resort Hotel,0,7,2024,October,41,5,1,4,2,0,0,BB,GBR,Groups,Corporate,0,0,0,A,A,0,No Deposit,0,Transient-Party,50,0,1,Check-Out,10-10-2024,DT284,61121
City Hotel,0,5,2024,October,41,7,0,3,1,0,0,BB,JPN,Direct,Direct,0,0,0,D,D,0,No Deposit,0,Transient,148.8,0,0,Check-Out,10-10-2024,DT284,61122
City Hotel,0,12,2024,October,41,6,0,4,2,1,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,123.3,0,1,Check-Out,10-10-2024,DT284,61123
City Hotel,0,23,2024,October,41,9,0,1,2,0,0,BB,USA,Offline TA/TO,TA/TO,0,0,0,D,F,0,No Deposit,0,Transient,96.3,0,0,Check-Out,10-10-2024,DT284,61124
City Hotel,0,20,2024,October,41,7,0,3,1,0,0,BB,HUN,Direct,Direct,0,0,0,A,D,0,No Deposit,0,Transient,90,0,0,Check-Out,10-10-2024,DT284,61125
City Hotel,0,20,2024,October,41,4,2,4,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Contract,107,0,0,Check-Out,10-10-2024,DT284,61126
Resort Hotel,0,7,2024,October,41,5,1,4,2,0,0,BB,GBR,Groups,Corporate,0,0,0,A,A,0,No Deposit,0,Transient-Party,50,0,1,Check-Out,10-10-2024,DT284,61127
City Hotel,0,7,2024,October,41,7,0,3,2,0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Contract,164,0,2,Check-Out,10-10-2024,DT284,61128
City Hotel,0,17,2024,October,41,6,0,4,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,97.02,0,0,Check-Out,10-10-2024,DT284,61129
City Hotel,0,0,2024,October,41,9,0,1,2,0,0,SC,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,161,1,1,Check-Out,10-10-2024,DT284,61130
Resort Hotel,0,2,2024,October,42,9,1,0,2,0,0,BB,GBR,Direct,Direct,0,0,0,F,F,0,No Deposit,0,Transient,100,0,1,Check-Out,10-10-2024,DT284,61131
City Hotel,0,20,2024,October,41,7,0,3,1,0,0,BB,POL,Direct,Direct,0,0,0,A,D,0,No Deposit,0,Transient,90,0,0,Check-Out,10-10-2024,DT284,61132
Resort Hotel,0,46,2024,October,40,3,2,5,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,44.8,1,0,Check-Out,10-10-2024,DT284,61133
Resort Hotel,0,11,2024,October,42,9,1,0,2,0,0,BB,OMN,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,50,1,1,Check-Out,10-10-2024,DT284,61134
City Hotel,0,88,2024,October,41,7,1,2,1,0,0,BB,POL,Corporate,Corporate,0,0,0,A,A,1,No Deposit,0,Transient-Party,68,0,0,Check-Out,10-10-2024,DT284,61135
City Hotel,0,349,2024,October,41,4,1,5,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,162,Transient-Party,123.33,0,0,Check-Out,10-10-2024,DT284,61136
City Hotel,0,0,2024,October,42,9,1,0,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,0,Transient,77,0,0,Check-Out,10-10-2024,DT284,61137
City Hotel,0,101,2024,October,41,7,1,2,2,0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,118.8,0,1,Check-Out,10-10-2024,DT284,61138
City Hotel,0,28,2024,October,41,6,1,3,1,0,0,HB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,205,0,1,Check-Out,10-10-2024,DT284,61139
City Hotel,0,187,2024,October,41,7,1,2,1,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,108.9,0,3,Check-Out,10-10-2024,DT284,61140
City Hotel,0,187,2024,October,41,7,1,2,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient,108.9,0,3,Check-Out,10-10-2024,DT284,61141
City Hotel,0,338,2024,October,41,7,1,2,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,68,Transient-Party,90.67,0,1,Check-Out,10-10-2024,DT284,61142
City Hotel,0,85,2024,October,41,6,1,3,2,0,0,BB,CN,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,85,0,1,Check-Out,10-10-2024,DT284,61143
City Hotel,0,187,2024,October,41,7,1,2,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient,103.5,0,3,Check-Out,10-10-2024,DT284,61144
City Hotel,0,338,2024,October,41,7,1,2,2,0,0,BB,DOM,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,68,Transient-Party,90.67,0,1,Check-Out,10-10-2024,DT284,61145
City Hotel,0,338,2024,October,41,7,1,2,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,68,Transient-Party,90.67,0,1,Check-Out,10-10-2024,DT284,61146
City Hotel,0,338,2024,October,41,7,1,2,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,68,Transient-Party,90.67,0,1,Check-Out,10-10-2024,DT284,61147
City Hotel,0,338,2024,October,41,7,1,2,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,68,Transient-Party,90.67,0,0,Check-Out,10-10-2024,DT284,61148
City Hotel,0,338,2024,October,41,7,1,2,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,68,Transient-Party,90.67,0,1,Check-Out,10-10-2024,DT284,61149
City Hotel,0,102,2024,October,42,9,1,0,2,0,0,SC,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,108,0,1,Check-Out,10-10-2024,DT284,61150
City Hotel,0,147,2024,October,41,7,1,2,3,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,151.2,0,0,Check-Out,10-10-2024,DT284,61151
City Hotel,0,126,2024,October,41,8,1,1,2,0,0,BB,ROU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,118.8,0,2,Check-Out,10-10-2024,DT284,61152
City Hotel,0,338,2024,October,41,7,1,2,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,68,Transient-Party,90.67,0,1,Check-Out,10-10-2024,DT284,61153
City Hotel,0,85,2024,October,41,6,1,3,2,0,0,BB,SWE,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,85,0,1,Check-Out,10-10-2024,DT284,61154
City Hotel,0,85,2024,October,41,6,1,3,1,0,0,BB,SWE,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient-Party,75,0,0,Check-Out,10-10-2024,DT284,61155
City Hotel,0,85,2024,October,41,6,1,3,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,85,0,1,Check-Out,10-10-2024,DT284,61156
City Hotel,0,3,2024,October,41,7,1,2,3,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,0,Transient,166,0,1,Check-Out,10-10-2024,DT284,61157
City Hotel,0,0,2024,October,42,9,1,0,3,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,0,Transient,77,0,0,Check-Out,10-10-2024,DT284,61158
City Hotel,0,0,2024,October,41,8,1,1,2,0,0,SC,USA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,0,Transient,87.2,0,0,Check-Out,10-10-2024,DT284,61159
Resort Hotel,0,11,2024,October,42,9,1,0,2,0,0,BB,GBR,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,50,0,1,Check-Out,10-10-2024,DT284,61160
Resort Hotel,0,11,2024,October,42,9,1,0,2,0,0,BB,GBR,Groups,TA/TO,0,0,0,A,E,0,No Deposit,0,Transient-Party,50,0,1,Check-Out,10-10-2024,DT284,61161
Resort Hotel,0,11,2024,October,42,9,1,0,2,0,0,BB,GBR,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,50,0,1,Check-Out,10-10-2024,DT284,61162
Resort Hotel,0,11,2024,October,42,9,1,0,2,0,0,BB,GBR,Groups,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient-Party,50,1,1,Check-Out,10-10-2024,DT284,61163
Resort Hotel,0,11,2024,October,42,9,1,0,2,0,0,BB,GBR,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,50,0,1,Check-Out,10-10-2024,DT284,61164
City Hotel,0,85,2024,October,41,6,1,3,2,0,0,BB,CN,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,85,0,1,Check-Out,10-10-2024,DT284,61165
